Name,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,SO,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,SO Ratio
Fernando Abad,2.306497966212146,COL,NL,-0.41769581356128455,-0.8968480453692212,1.7859930647325313,-0.04525065438101541,-0.8380609307495717,-0.614398052713784,-0.3251937597072823,-0.1580546236336066,-0.1382956364463799,-0.28054786712971497,-0.9136560210425186,-0.7287350173444879,-0.9162079316900591,-0.88458416181539,-0.5450685186596429,-0.9052816492823786,-0.991964254477134,0.18451375567496037,1.7816527054077722,1.3965747147282133,1.7725069993644862,1.511937714495265,0.13918366407498287,-1.7248484281832062,-1.1331126548143444,-1.4676283890968422
Andrew Abbott,-1.349069491922418,CIN,NL,1.2288092163817448,-0.007155702489648047,0.9661959929658768,-0.9959037761983981,-0.6106627296077747,0.7675344517821442,-0.6480075251652099,-0.1580546236336066,-0.1382956364463799,-0.28054786712971497,0.6176015713088666,-0.01071862155546614,-0.31102720117758875,-0.24259585097359507,0.6809247926572223,0.45027858830223483,0.6797116547189396,1.5376383409505079,-0.26979494447278274,-0.8551659001453549,-0.909042376834931,0.1052209085418256,-0.3267247293862745,0.2888736247616279,0.3985201899453584,0.20591102461018418
Cory Abbott,-0.5054770015836725,WSN,NL,-0.8293220710470419,-0.45200187392943464,-1.080430263122904,0.49609348443166107,-0.5348633292271757,-0.614398052713784,0.3204337712085728,-0.1580546236336066,-0.1382956364463799,-0.28054786712971497,-0.505112753022088,-0.435001037248979,-0.37154527422883576,-0.30679468205777455,-0.13640408155402114,-0.36305755424853325,-0.5664467503181334,-0.4389848277363213,0.6058229548664786,0.1168209753097223,0.10630156172601317,0.5741265105263055,0.07262532215194603,-0.30895010970636955,-0.4530676717410363,-0.2673063991561092
Albert Abreu,-0.5054770015836725,NYY,AL,-0.0060695560755272115,-0.007155702489648047,0.3527814008048138,-0.09806471670420339,1.2085228795266012,-0.614398052713784,1.4502819503113191,-0.1580546236336066,-0.1382956364463799,-0.28054786712971497,0.1778717942792427,0.02191848734403485,0.4757077484886228,0.1425971355314819,0.2722603555516006,0.7213906358191575,0.3453764728797249,-0.09407071776412294,0.03542043758261711,-0.13356562588085236,-0.36231871760980705,0.1052209085418256,0.23902117695953795,0.5405888813797325,-0.20187988520044509,0.4115894669240014
Bryan Abreu,-0.7866744983632543,HOU,AL,0.40555670141023015,-0.007155702489648047,0.6394237335903572,-0.723031120861927,2.2697144848549873,-0.614398052713784,1.1274681848533916,-0.1580546236336066,-0.1382956364463799,0.2519933768366142,0.3338043393252086,0.02191848734403485,-0.06895490897260058,-0.17839701988941556,0.2722603555516006,0.5406492708078757,1.0444409439980828,0.5957575021802738,-0.6000279807950185,-0.45872044826027897,-0.5705943973146164,0.011439788144929542,-0.06049136169412733,1.6103787220066756,0.6803406333811438,1.3080942216331966
Domingo Acevedo,0.05691799197549128,OAK,AL,-0.8293220710470419,-0.8968480453692212,-1.080430263122904,2.7494934768876793,-0.6106627296077747,-0.614398052713784,-0.48660064243624607,-0.1580546236336066,-0.1382956364463799,-0.28054786712971497,-0.8200964940149391,-0.565549472846983,-0.43206334728008283,-0.37099351314195406,-0.5450685186596429,-0.9956523317880196,-0.839993717277491,-0.9298241380813729,0.46072056011882956,0.9062342873966721,1.720438079438284,0.6679076309232014,-0.6595164390014583,-0.4662721450926847,0.6006957254536393,-0.4195301858221897
Jason Adam,0.6193129855346551,TBR,AL,-0.0060695560755272115,-0.007155702489648047,0.3527814008048138,-0.7406358083029897,1.8907174829519922,-0.614398052713784,2.257316363956138,-0.1580546236336066,-0.1382956364463799,2.6484289746850953,0.14668528527004954,-0.23917838385197307,-0.18999105507509464,-0.30679468205777455,-0.13640408155402114,0.26953722329095303,0.46695290263943934,0.5824915748736508,-0.3298373147131893,-0.6378164199452037,-0.7788700770194253,-0.26990357304575835,-0.09377053265564575,0.9181617663068886,0.3740140644292032,0.71474581058242
Austin Adams,0.9005104823142369,ARI,NL,-0.8293220710470419,-0.45200187392943464,-1.080430263122904,0.8437860613926483,0.22313067457881425,-0.614398052713784,-0.48660064243624607,-0.1580546236336066,-0.1382956364463799,-0.28054786712971497,-0.6641639489689731,-0.6634607995454859,-0.43206334728008283,-0.4351923442261335,-0.7494007372124537,-0.634169601765456,-0.5056585354382762,-0.5451122461893054,-0.41990087007379906,-0.1422596050888582,-0.1540430379049982,-0.5512469342364463,-0.027212190732609068,0.9496261733841521,0.2943691565016987,0.7853048916199793
Ty Adcock,-0.7866744983632543,SEA,AL,-0.8293220710470419,-0.8968480453692212,-1.080430263122904,-0.4017455750625338,-0.38326452846597775,-0.614398052713784,-0.002379994249354749,-0.1580546236336066,-0.1382956364463799,-0.28054786712971497,-0.6298587890588607,-0.7287350173444879,-0.6741356394850709,-0.6919876685628515,-0.13640408155402114,-1.1763936967993014,-0.7184172875177764,0.15798190106171434,0.2906005111043446,-1.2272682102480141,-0.6486977772039197,1.043032112510785,-1.2918206872703075,-0.623594180479,-1.543590257209945,-0.5276891921375627
Joan Adon,-1.349069491922418,WSN,NL,-0.8293220710470419,-0.8968480453692212,-1.080430263122904,0.4564829376892702,-1.1412585322719677,-0.614398052713784,-0.3251937597072823,-0.1580546236336066,-0.1382956364463799,-0.28054786712971497,-0.9479611809526312,-0.9898318885404958,-0.9162079316900591,-0.88458416181539,-0.5450685186596429,-0.9956523317880196,-0.9311760395972767,-0.3593892638965832,1.7366209277274673,-0.7091070494508532,-0.8830079168718298,2.2621866776704334,-0.09377053265564575,-0.3404145167836325,-0.3182839814021825,-0.3464627682224711
