Name,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,SO,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
Tom Cosgrove,27,SDP,NL,1,2,0.333,2.08,26,0,8,0,0,0,26.0,15,7,6,2,8,23,199,3.79,0.885,5.2,0.7,2.8,8.0,2.88
Danny Coulombe,33,BAL,AL,3,1,0.75,2.91,41,0,7,0,0,1,34.0,30,11,11,3,7,41,145,2.82,1.088,7.9,0.8,1.9,10.9,5.86
Jake Cousins,28,MIL,NL,0,0,0.0,4.82,9,0,4,0,0,0,9.1,10,5,5,1,10,7,93,6.4,2.143,9.6,1.0,9.6,6.8,0.7
Dylan Covey,31,TOT,NL,1,2,0.333,5.48,12,1,5,0,0,0,23.0,29,16,14,5,6,18,81,5.33,1.522,11.3,2.0,2.3,7.0,3.0
Dylan Covey,31,LAD,NL,0,0,0.0,4.5,1,0,0,0,0,0,4.0,5,2,2,2,1,3,107,9.04,1.5,11.3,4.5,2.3,6.8,3.0
Dylan Covey,31,PHI,NL,1,2,0.333,5.68,11,1,5,0,0,0,19.0,24,14,12,3,5,15,77,4.55,1.526,11.4,1.4,2.4,7.1,3.0
Austin Cox,26,KCR,AL,0,1,0.0,3.63,10,2,2,0,0,0,22.1,14,9,9,1,12,20,123,3.69,1.164,5.6,0.4,4.8,8.1,1.67
Brandon Crawford,36,SFG,NL,0,0,0.0,0.0,1,0,1,0,0,0,1.0,1,0,0,0,1,0,0,6.29,2.0,9.0,0.0,9.0,0.0,0.0
Kutter Crawford,27,BOS,AL,4,5,0.444,4.04,19,11,5,0,0,0,71.1,63,33,32,12,17,69,116,4.34,1.121,7.9,1.5,2.1,8.7,4.06
Nabil Crismatt,28,SDP,NL,0,1,0.0,9.82,7,0,3,0,0,0,11.0,17,12,12,3,7,9,43,7.38,2.182,13.9,2.5,5.7,7.4,1.29
Cooper Criswell,26,TBR,AL,1,1,0.5,5.04,7,0,2,0,0,0,25.0,29,14,14,3,8,24,82,4.37,1.48,10.4,1.1,2.9,8.6,3.0
Garrett Crochet,24,CHW,AL,0,1,0.0,3.6,10,0,5,0,0,0,10.0,10,5,4,1,11,9,125,6.39,2.1,9.0,0.9,9.9,8.1,0.82
Wil Crowe,28,PIT,NL,0,1,0.0,4.66,5,0,2,0,0,1,9.2,9,6,5,1,9,9,99,5.88,1.862,8.4,0.9,8.4,8.4,1.0
Fernando Cruz,33,CIN,NL,1,1,0.5,4.89,32,0,11,0,0,0,38.2,32,23,21,4,19,53,97,3.44,1.319,7.4,0.9,4.4,12.3,2.79
Jose Cuas,29,KCR,AL,3,0,1.0,3.99,41,1,5,0,0,0,38.1,40,17,17,5,19,48,111,4.28,1.539,9.4,1.2,4.5,11.3,2.53
Johnny Cueto,37,MIA,NL,0,1,0.0,4.5,3,2,0,0,0,0,10.0,6,5,5,2,3,9,100,5.29,0.9,5.4,1.8,2.7,8.1,3.0
Xzavion Curry,24,CLE,AL,3,0,1.0,2.86,24,1,14,0,0,0,50.1,46,18,16,5,11,34,146,3.94,1.132,8.2,0.9,2.0,6.1,3.09
John Curtiss,30,NYM,NL,0,0,0.0,4.08,13,0,4,0,0,0,17.2,14,8,8,3,6,11,103,5.27,1.132,7.1,1.5,3.1,5.6,1.83
Tyler Cyr,30,LAD,NL,0,0,0.0,0.0,2,0,2,0,0,0,1.2,1,0,0,0,0,2,0,0.89,0.6,5.4,0.0,0.0,10.8,0.0
Yu Darvish,36,SDP,NL,7,6,0.538,4.36,17,17,0,0,0,0,97.0,89,48,47,11,33,105,94,3.77,1.258,8.3,1.0,3.1,9.7,3.18
Tucker Davidson,27,LAA,AL,1,1,0.5,6.54,18,0,8,0,0,2,31.2,44,25,23,2,11,31,69,3.38,1.737,12.5,0.6,3.1,8.8,2.82
Zach Davies,30,ARI,NL,1,5,0.167,7.38,12,12,0,0,0,0,57.1,66,50,47,7,27,46,58,4.68,1.622,10.4,1.1,4.2,7.2,1.7
Noah Davis,26,COL,NL,0,2,0.0,10.61,5,4,0,0,0,0,18.2,32,23,22,4,10,16,48,6.13,2.25,15.4,1.9,4.8,7.7,1.6
Chase De Jong,29,PIT,NL,0,0,0.0,13.5,6,0,2,0,0,0,11.1,18,17,17,6,6,7,34,11.05,2.118,14.3,4.8,4.8,5.6,1.17
Jos De Len,30,MIN,AL,0,1,0.0,4.67,12,1,4,0,0,0,17.1,16,10,9,2,5,17,94,3.87,1.212,8.3,1.0,2.6,8.8,3.4
Enyel De Los Santos,27,CLE,AL,4,1,0.8,2.66,42,0,4,0,0,0,40.2,27,13,12,2,16,35,157,3.61,1.057,6.0,0.4,3.5,7.7,2.19
Yerry De Los Santos,25,PIT,NL,0,1,0.0,3.31,15,0,7,0,0,0,16.1,9,7,6,0,10,13,138,3.72,1.163,5.0,0.0,5.5,7.2,1.3
Jacob deGrom,35,TEX,AL,2,0,1.0,2.67,6,6,0,0,0,0,30.1,19,11,9,2,4,45,165,1.57,0.758,5.6,0.6,1.2,13.4,11.25
Matt Dermody,32,BOS,AL,0,1,0.0,6.75,1,1,0,0,0,0,4.0,4,3,3,2,1,1,75,10.79,1.25,9.0,4.5,2.3,2.3,1.0
Anthony DeSclafani,33,SFG,NL,4,8,0.333,4.72,18,18,0,0,0,0,95.1,97,55,50,14,18,77,91,4.28,1.206,9.2,1.3,1.7,7.3,4.28
Reid Detmers,23,LAA,AL,2,7,0.222,4.38,18,18,0,0,0,0,96.2,89,52,47,11,37,122,102,3.61,1.303,8.3,1.0,3.4,11.4,3.3
Chris Devenski,32,LAA,AL,3,2,0.6,5.08,29,0,4,0,0,0,33.2,31,20,19,5,9,33,88,4.15,1.188,8.3,1.3,2.4,8.8,3.67
Alexis Daz,26,CIN,NL,3,1,0.75,2.01,46,0,35,0,0,29,44.2,25,11,10,2,19,67,236,2.48,0.985,5.0,0.4,3.8,13.5,3.53
Jake Diekman,36,TOT,AL,0,1,0.0,4.22,39,0,15,0,0,0,32.0,20,21,15,3,26,39,101,4.6,1.438,5.6,0.8,7.3,11.0,1.5
Jake Diekman,36,CHW,AL,0,1,0.0,7.94,13,0,5,0,0,0,11.1,11,14,10,1,13,11,56,5.94,2.118,8.7,0.8,10.3,8.7,0.85
Jake Diekman,36,TBR,AL,0,0,0.0,2.18,26,0,10,0,0,0,20.2,9,7,5,2,13,28,191,3.87,1.065,3.9,0.9,5.7,12.2,2.15
Brandon Dixon,31,SDP,NL,0,0,0.0,0.0,1,0,1,0,0,0,1.0,0,0,0,0,0,0,0,3.29,0.0,0.0,0.0,0.0,0.0,0.0
Dylan Dodd,25,ATL,NL,2,1,0.667,7.4,5,5,0,0,0,0,24.1,37,20,20,8,8,12,62,7.69,1.849,13.7,3.0,3.0,4.4,1.5
Seranthony Domnguez,28,PHI,NL,1,2,0.333,4.33,32,0,3,0,0,0,27.0,31,17,13,3,11,28,100,4.33,1.556,10.3,1.0,3.7,9.3,2.55
Josh Donaldson,37,NYY,AL,0,0,0.0,0.0,1,0,1,0,0,0,1.0,0,0,0,0,0,0,0,3.29,0.0,0.0,0.0,0.0,0.0,0.0
Camilo Doval,25,SFG,NL,2,3,0.4,2.4,45,0,42,0,0,30,45.0,29,16,12,2,18,59,180,2.84,1.044,5.8,0.4,3.6,11.8,3.28
Tommy Doyle,27,COL,NL,0,0,0.0,0.0,2,0,0,0,0,0,4.0,1,0,0,0,1,2,0,3.04,0.5,2.3,0.0,2.3,4.5,2.0
Daniel Duarte,26,CIN,NL,1,0,1.0,2.77,14,0,3,0,0,0,13.0,10,5,4,2,9,10,175,5.83,1.462,6.9,1.4,6.2,6.9,1.11
Shawn Dubin,27,HOU,AL,0,0,0.0,7.0,3,1,1,0,0,0,9.0,12,7,7,1,3,11,62,3.62,1.667,12.0,1.0,3.0,11.0,3.67
Matt Duffy,32,KCR,AL,0,0,0.0,0.0,1,0,1,0,0,0,1.0,1,0,0,0,0,0,0,3.29,1.0,9.0,0.0,0.0,0.0,0.0
Dane Dunning,28,TEX,AL,8,3,0.727,3.18,22,14,2,0,0,0,102.0,92,38,36,9,27,64,137,4.18,1.167,8.1,0.8,2.4,5.6,2.37
Jhoan Duran,25,MIN,AL,2,4,0.333,2.06,36,0,25,0,0,17,39.1,26,12,9,3,15,52,211,3.09,1.042,5.9,0.7,3.4,11.9,3.47
Nate Eaton,26,KCR,AL,0,0,0.0,0.0,1,0,1,0,0,0,1.0,2,0,0,0,0,1,0,1.29,2.0,18.0,0.0,0.0,9.0,0.0
Carl Edwards Jr,31,WSN,NL,1,3,0.25,3.69,32,0,3,0,0,2,31.2,31,14,13,1,17,24,114,3.89,1.516,8.8,0.3,4.8,6.8,1.41
Zach Eflin,29,TBR,AL,11,5,0.688,3.36,19,19,0,0,0,0,112.1,95,42,42,11,16,113,122,3.03,0.988,7.6,0.9,1.3,9.1,7.06
Bryce Elder,24,ATL,NL,7,2,0.778,3.31,19,19,0,0,0,0,108.2,100,43,40,11,35,84,136,4.19,1.242,8.3,0.9,2.9,7.0,2.4
Mason Englert,23,DET,AL,4,3,0.571,5.46,31,1,7,0,0,0,56.0,67,39,34,12,17,41,79,5.63,1.5,10.8,1.9,2.7,6.6,2.41
Nathan Eovaldi,33,TEX,AL,11,3,0.786,2.69,19,19,0,2,1,0,123.2,91,38,37,8,34,111,162,3.26,1.011,6.6,0.6,2.5,8.1,3.26
