Name,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,SO,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
Colten Brewer,30,NYY,AL,0,0,0.0,4.32,3,0,1,0,0,0,8.1,6,4,4,3,3,4,102,8.45,1.08,6.5,3.2,3.2,4.3,1.33
Beau Brieske,25,DET,AL,0,0,0.0,5.4,3,0,1,0,0,0,3.1,3,2,2,0,1,3,88,2.39,1.2,8.1,0.0,2.7,8.1,3.0
Jeff Brigham,31,NYM,NL,0,2,0.0,5.16,32,0,7,0,0,0,29.2,18,18,17,6,13,33,81,5.51,1.045,5.5,1.8,3.9,10.0,2.54
Braden Bristo,28,TOT,AL,0,0,0.0,2.57,3,0,3,0,0,1,7.0,5,3,2,0,4,5,181,3.57,1.286,6.4,0.0,5.1,6.4,1.25
Braden Bristo,28,TBR,AL,0,0,0.0,0.0,1,0,1,0,0,1,3.0,0,0,0,0,1,4,0,1.62,0.333,0.0,0.0,3.0,12.0,4.0
Braden Bristo,28,DET,AL,0,0,0.0,4.5,2,0,2,0,0,0,4.0,5,3,2,0,3,1,104,5.04,2.0,11.3,0.0,6.8,2.3,0.33
Jhony Brito,25,NYY,AL,4,4,0.5,4.7,12,11,0,0,0,0,51.2,48,30,27,8,21,35,90,5.28,1.335,8.4,1.4,3.7,6.1,1.67
Connor Brogdon,28,PHI,NL,2,1,0.667,4.03,27,1,3,0,0,0,29.0,29,14,13,5,13,26,108,5.19,1.448,9.0,1.6,4.0,8.1,2.0
Mike Brosseau,29,MIL,NL,0,0,0.0,3.86,3,0,3,0,0,0,2.1,1,1,1,1,1,0,129,10.15,0.857,3.9,3.9,3.9,0.0,0.0
Hunter Brown,24,HOU,AL,6,7,0.462,4.26,18,18,0,0,0,0,99.1,98,51,47,11,33,118,98,3.5,1.319,8.9,1.0,3.0,10.7,3.58
Justin Bruihl,26,LAD,NL,1,0,1.0,3.22,18,0,8,0,0,0,22.1,22,8,8,2,5,17,139,3.87,1.209,8.9,0.8,2.0,6.9,3.4
Kris Bubic,25,KCR,AL,0,2,0.0,3.94,3,3,0,0,0,0,16.0,19,7,7,1,2,16,114,2.66,1.313,10.7,0.6,1.1,9.0,8.0
JB Bukauskas,26,TOT,MLB,0,0,0.0,3.0,3,0,0,0,0,0,3.0,2,2,1,0,3,3,176,5.29,1.667,6.0,0.0,9.0,9.0,1.0
JB Bukauskas,26,SEA,AL,0,0,0.0,9.0,1,0,0,0,0,0,1.0,2,2,1,0,2,1,63,7.29,4.0,18.0,0.0,18.0,9.0,0.5
JB Bukauskas,26,MIL,NL,0,0,0.0,0.0,2,0,0,0,0,0,2.0,0,0,0,0,1,2,0,4.29,0.5,0.0,0.0,4.5,9.0,2.0
